osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/262712566,Moseley,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.853333,30.888333,
node/262712581,Moseley Park,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.846389,30.874167,
node/262712606,Motalabad,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.773611,30.885000,
node/262712623,Mount Edgecombe,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.735381,31.041264,
node/262712627,Mount Moreland,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.638333,31.092500,
node/4065643591,Mount Moriah,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.738233,31.020079,
node/737164297,Mount Richmore,suburb,KwaDukuza Local Municipality,KwaZulu-Natal,-29.488698,31.233162,
node/262712628,Mount Vernon,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.896667,30.937500,
node/262712633,Mountain Home,suburb,uMgeni Local Municipality,KwaZulu-Natal,-29.554722,30.291667,
node/262712634,Mountain Rise,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.583333,30.405556,
node/262712639,Mountview,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.654167,31.036944,
node/1318739298,Mpangele,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.768462,31.907738,
node/262712667,Mpophomeni,suburb,uMgeni Local Municipality,KwaZulu-Natal,-29.566944,30.181667,
node/262721547,Mpumalanga,town,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.813333,30.630278,
node/262721548,Mpungamhlophe,village,Ulundi Local Municipality,KwaZulu-Natal,-28.266944,31.254167,
node/2061614978,Mseleni,village,uMhlabuyalingana Local Municipality,KwaZulu-Natal,-27.367271,32.526769,
node/262712707,Mt. Vernon,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.647500,31.022500,
node/1348502289,Mtendeka,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.844057,30.097216,
node/14014736770,Mtonjeni,village,Jozini Local Municipality,KwaZulu-Natal,-27.219555,32.004214,
node/262712717,Mtubatuba,town,Mtubatuba Local Municipality,KwaZulu-Natal,-28.415707,32.188460,
node/262712718,Mtunzini,village,uMlalazi Local Municipality,KwaZulu-Natal,-28.955733,31.756559,
node/262712724,Mtwalume,suburb,uMdoni Local Municipality,KwaZulu-Natal,-30.492222,30.630833,
node/262712729,Muden,suburb,Umvoti Local Municipality,KwaZulu-Natal,-28.976944,30.375000,
node/1348502325,Muiskraal,suburb,Newcastle Local Municipality,KwaZulu-Natal,-27.743785,30.081566,
node/1348502322,Mullingar,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.959560,30.281422,
node/262712785,Mullingar,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.967500,30.279167,
node/2057426669,Muntulu Bush Lodge,village,Hlabisa Local Municipality,KwaZulu-Natal,-28.127384,32.052009,
node/2057417500,Munywaneni Bush Lodge,village,Hlabisa Local Municipality,KwaZulu-Natal,-28.151391,32.035399,
node/262712897,Murchison,suburb,Hibiscus Coast Local Municipality,KwaZulu-Natal,-30.730000,30.360000,
node/262712931,Musgrave,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.848889,30.996111,
node/3893442262,Myeki,village,Mtubatuba Local Municipality,KwaZulu-Natal,-28.315117,32.098319,
node/262713091,Naidooville,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-30.212222,30.768333,
node/262713098,Napierville,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.616944,30.360833,
node/262713127,Ncandu Park,suburb,Newcastle Local Municipality,KwaZulu-Natal,-27.728333,29.975000,
node/1348609611,Ncepheni,suburb,Nquthu Local Municipality,KwaZulu-Natal,-28.329893,30.615445,
node/2207841029,Ncombo,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.876500,31.959079,
node/262713165,Ncotshane,village,uPhongolo Local Municipality,KwaZulu-Natal,-27.343889,31.578056,
node/262713169,Ndabayakhe,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.799167,31.866667,
node/1348522668,Ndatshana,suburb,Nquthu Local Municipality,KwaZulu-Natal,-28.064755,30.581960,
node/2207841018,Ndindima,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.887755,31.936071,
node/262713174,Ndlovane,suburb,Ulundi Local Municipality,KwaZulu-Natal,-28.307500,31.365000,
node/262713176,Ndumo,village,Jozini Local Municipality,KwaZulu-Natal,-26.925410,32.252322,
node/2060116576,Ndumo Wilderness Camp,village,Jozini Local Municipality,KwaZulu-Natal,-26.873052,32.270830,
node/262713177,Ndwedwe,suburb,Ndwedwe Local Municipality,KwaZulu-Natal,-29.514719,30.935367,
node/8455810330,Ndweni,village,Nkandla Local Municipality,KwaZulu-Natal,-28.647646,31.107852,
node/1348502244,Nellie Valley,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.899906,30.212104,
node/1348502317,Nellie Valley,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.934989,30.188643,
node/1348502270,Nellieville,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.920979,30.171879,
node/262713196,New Dawn Park,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.786085,30.981730,
node/262713197,New Germany,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.805000,30.879722,
