osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/6206166995,New Macassar,neighbourhood,City of Cape Town,Western Cape,-34.057878,18.757312,
node/6206087295,New Scheme,neighbourhood,City of Cape Town,Western Cape,-34.063602,18.771485,
node/12189710780,New Woodlands,suburb,City of Cape Town,Western Cape,-34.023134,18.600827,
node/242783140,Newfields,suburb,City of Cape Town,Western Cape,-33.985169,18.533242,
node/25685781,Newlands,suburb,City of Cape Town,Western Cape,-33.974283,18.457295,
node/539172199,Nomzamo,suburb,City of Cape Town,Western Cape,-34.114920,18.861127,
node/6515180539,Nonqubela (Site B),suburb,City of Cape Town,Western Cape,-34.023052,18.666320,
node/262721693,Nooitgedacht,suburb,City of Cape Town,Western Cape,-33.954167,18.579444,
node/31042349,Noordhoek,village,City of Cape Town,Western Cape,-34.102778,18.380000,
node/262721704,Northpine,suburb,City of Cape Town,Western Cape,-33.869444,18.714722,
node/262721718,Norwood,suburb,City of Cape Town,Western Cape,-33.925833,18.578056,
node/262721750,Nuwedorp,suburb,City of Cape Town,Western Cape,-34.063333,18.888056,
node/262721768,Nyanga,suburb,City of Cape Town,Western Cape,-33.986944,18.584722,
node/262721781,Oakdale,suburb,City of Cape Town,Western Cape,-33.891389,18.636389,
node/12730341061,Oakglen,suburb,City of Cape Town,Western Cape,-33.885866,18.667680,
node/25685777,Observatory,suburb,City of Cape Town,Western Cape,-33.936944,18.468333,
node/262721789,Ocean View,suburb,City of Cape Town,Western Cape,-34.145881,18.352985,
node/6205264754,Onverwacht,neighbourhood,City of Cape Town,Western Cape,-34.147708,18.863068,
node/38464217,Oranjezicht,suburb,City of Cape Town,Western Cape,-33.943889,18.415000,
node/258524646,Ottery,suburb,City of Cape Town,Western Cape,-34.013153,18.509153,
node/174084168,Paarden Eiland,suburb,City of Cape Town,Western Cape,-33.914046,18.471193,
node/6222934099,Paardevlei,neighbourhood,City of Cape Town,Western Cape,-34.091311,18.814962,
node/262721876,Palm Park,suburb,City of Cape Town,Western Cape,-33.995278,18.720000,
node/262721879,Panorama,suburb,City of Cape Town,Western Cape,-33.882778,18.570278,
node/262721882,Parelvallei,suburb,City of Cape Town,Western Cape,-34.069444,18.851944,
